N1	N2	O1	O2	P1	P2	Q1	Q2	R1	R2	S1	S2	T1	T2	U1	U2	W1	W2	W3	W4	gene.names
50	46	49	59	52	75	36	34	50	37	23	11	20	32	30	26	19	20	57	27	CAGL0A01408g
6313	5111	8921	4938	7044	5718	6001	3778	7831	2917	4151	5044	5291	5319	5971	3140	3449	3677	1738	1455	CAGL0A01430g
933	766	1128	648	978	695	744	404	770	245	306	602	289	485	296	171	303	337	207	174	CAGL0A01452g
2266	1478	2666	2726	2470	2845	1650	2269	1988	1477	1027	1451	1286	1086	1532	1640	986	990	2154	1832	CAGL0A01474g
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	CAGL0A01496r
18881	12367	24913	14593	19486	16057	18046	10119	22440	8038	11434	13419	17955	15052	18037	7804	7322	8705	151	151	CAGL0A01540g
37342	26659	50137	35830	38518	38572	37098	23118	48059	21089	26899	37058	39879	35399	41736	19588	21661	25657	877	976	CAGL0A01562g
35	29	35	37	19	29	38	43	53	43	8	21	12	5	11	28	24	42	28	18	CAGL0A01584g
239	218	69	36	175	128	171	125	64	21	34	42	32	63	102	60	41	44	328	347	CAGL0A01606g
1907	1261	900	774	1620	1846	1265	1154	833	716	319	480	462	432	1091	1524	590	687	611	583	CAGL0A01628g
2010	1449	340	352	960	1265	1411	990	266	192	178	268	182	360	1332	976	215	238	6981	6105	CAGL0A01650g
1279	1230	1557	1156	1164	1336	1611	1015	1259	646	781	1113	588	1045	707	499	772	823	1363	1341	CAGL0A01672g
438	427	297	194	647	584	404	177	328	157	151	217	128	205	407	417	139	171	888	740	CAGL0A01694g
1623	1797	574	606	1486	2421	1123	832	369	535	305	259	204	585	730	1167	556	652	15021	15064	CAGL0A01716g
3206	2820	1789	1148	3267	2594	2212	1030	1128	556	702	1203	550	1160	1869	1352	759	862	2380	2134	CAGL0A01738g
936	887	1068	713	977	974	1089	581	789	401	471	759	318	549	305	310	499	502	876	809	CAGL0A01760g
22288	8678	21428	12993	28923	22840	10550	12861	13267	4502	8174	11271	18515	13115	19426	8990	5816	6755	3761	2589	CAGL0A01782g
3961	2355	3065	2351	1931	2104	2606	2930	2133	1243	694	1121	2205	1052	1015	1056	1256	1432	470	458	CAGL0A01804g
21	27	8	7	205	241	24	11	2	3	2	2	1	3	277	180	11	7	419	598	CAGL0A01826g
2688	2290	2640	1692	2415	2052	2909	1485	2287	758	991	1541	876	1372	1110	689	666	711	1238	1092	CAGL0A01848g
273	332	273	203	320	330	305	157	245	121	142	202	88	198	146	136	127	135	1733	1436	CAGL0A01870g
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CAGL0A01892g
2863	2068	3593	2301	2915	2486	2978	1839	3152	1323	1219	2608	1599	1650	1952	2075	1576	1749	1446	1322	CAGL0A01914g
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CAGL0A01936r
1546	990	2088	1374	1667	1422	1557	1098	1708	1026	653	1231	1106	820	1235	1178	759	807	205	216	CAGL0A01958g
1067	813	1360	982	1242	1249	1182	749	871	484	360	713	308	455	355	357	551	592	814	755	CAGL0A01980g
66	70	26	45	141	219	65	39	21	15	7	12	13	14	95	126	33	31	4222	4091	CAGL0A02002g
357	422	349	201	394	373	449	183	292	146	157	225	82	216	111	126	152	156	1117	1027	CAGL0A02024g
1723	1527	924	580	1265	890	1496	649	1455	625	425	649	293	589	769	651	423	450	1219	1028	CAGL0A02046g
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CAGL0A02068r
4829	3499	7264	5025	5405	5257	4032	2975	6295	2599	2570	3612	3766	3085	3556	2174	2576	2769	276	244	CAGL0A02090g
7566	5679	12863	8222	8909	8270	7206	4436	10779	4208	5831	6699	7231	7674	6425	3473	4246	4790	593	510	CAGL0A02112g
543	685	763	630	511	585	715	339	678	376	369	759	100	420	96	121	494	524	279	335	CAGL0A02134g
28	28	28	26	35	27	34	18	23	3	39	24	5	49	4	5	21	21	429	395	CAGL0A02145g
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CAGL0A02167r
6280	4432	9171	6673	6932	6704	6049	4389	7584	3712	3267	4949	4888	4006	5102	3729	3213	3648	511	451	CAGL0A02189g
4759	1381	5107	3135	7797	5683	1754	1944	2917	821	1269	2056	2637	1899	4453	1512	1196	1358	2564	2841	CAGL0A02211g
2416	977	1269	1069	2053	2080	1175	1217	863	504	377	529	828	631	1143	641	453	506	1645	1696	CAGL0A02233g
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CAGL0A02255g
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CAGL0A02277g
171	102	247	162	190	221	94	92	59	19	78	109	59	124	41	22	39	46	56	40	CAGL0A02299g
7926	5133	5294	3421	7654	5734	5187	4138	3297	1213	1344	1780	2566	1816	4043	1981	2012	2368	756	831	CAGL0A02321g
0	2	4	0	1	0	0	0	1	0	0	2	1	0	0	0	0	1	1	1	CAGL0A02343g
4381	3415	4000	2617	10624	10119	3216	2012	3360	1878	1649	1826	2347	2427	14967	11638	1850	2142	2654	2487	CAGL0A02365g
1319	1244	1690	1026	4173	3704	1451	899	1213	516	676	770	511	865	3508	2472	720	807	1036	1018	CAGL0A02387g
2102	1948	2102	1660	1924	2138	2180	1566	1740	1274	610	651	898	939	1063	1211	1108	1198	1042	944	CAGL0A02409g
1074	926	1012	863	912	937	942	657	711	404	456	317	467	702	528	324	476	609	689	610	CAGL0A02431g
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CAGL0A02453r
578	540	454	343	421	446	400	266	378	194	194	141	193	282	267	177	241	315	598	600	CAGL0A02475g
1322	1070	1209	937	1180	1227	1082	799	951	628	366	559	487	549	702	812	592	628	991	952	CAGL0A02486g
827	684	884	651	797	829	873	513	731	494	397	469	429	495	550	572	500	544	614	626	CAGL0A02508g
2502	2218	3007	1875	2538	2031	2896	1423	2221	671	1999	1644	1330	2822	1426	554	872	993	1571	1478	CAGL0A02530g
1433	1378	1655	1337	1376	1549	1438	1092	1442	1127	709	861	945	966	906	1084	856	1047	712	627	CAGL0A02552g
1976	1748	2650	2101	2111	2468	2056	1551	2444	2027	978	796	1026	1448	823	905	1469	1892	1774	1648	CAGL0A02574g
1154	998	1135	888	1091	1042	1295	755	1148	555	490	884	511	595	602	516	513	534	507	399	CAGL0A02596g
408	315	413	399	418	578	329	339	315	259	220	223	292	387	324	242	253	336	735	731	CAGL0A02618g
3691	3647	3866	2953	3727	3959	3940	2541	2830	1727	1589	1982	1410	2248	1679	1591	1936	1986	4184	3991	CAGL0A02629g
1423	1123	1505	953	1300	1191	1386	843	1309	547	512	826	557	610	766	530	494	540	491	436	CAGL0A02651g
2268	1797	3040	2909	2526	3109	2409	2043	2665	3366	1290	1704	2157	1973	2203	3570	2625	3009	877	886	CAGL0A02673g
834	789	778	611	797	809	833	530	638	363	274	304	251	436	315	261	313	389	771	768	CAGL0A02695g
344	315	360	292	317	369	342	196	272	217	195	143	140	219	166	195	323	364	723	692	CAGL0A02706g
786	759	822	920	818	1229	1018	1072	717	885	440	431	478	737	604	703	752	940	1941	1915	CAGL0A02728g
2911	3321	3086	2198	2788	3086	4187	3459	2899	1431	1151	1276	1024	1763	1220	836	1273	1548	2783	2695	CAGL0A02750g
474	301	658	452	508	551	430	344	442	331	258	399	351	291	440	407	290	359	143	102	CAGL0A02772g
809	683	851	626	902	800	894	536	663	362	373	511	491	627	633	357	406	481	301	295	CAGL0A02794g
822	964	668	569	773	801	1030	687	634	342	353	367	192	462	242	185	331	380	943	956	CAGL0A02816g
346	299	439	278	350	309	366	214	318	216	146	283	97	196	154	170	160	188	383	310	CAGL0A02838g
697	509	691	487	587	569	646	434	524	329	275	535	229	320	276	288	359	420	295	276	CAGL0A02860g
899	867	883	593	802	845	886	574	595	377	502	526	276	607	371	314	559	570	1778	1713	CAGL0A02882g
277	199	248	181	233	192	228	129	166	93	125	202	81	185	102	116	105	131	251	213	CAGL0A02904g
2474	2292	2638	1717	2408	2090	2799	1548	2342	1042	1134	1763	1051	1629	1291	897	1050	1168	1528	1311	CAGL0A02926g
640	547	653	480	618	668	676	441	552	413	306	427	331	511	446	398	414	461	697	766	CAGL0A02948g
3	1	1	1	1	1	3	0	0	0	0	0	0	2	0	0	0	1	0	1	CAGL0A02970g
78	83	131	120	115	111	109	68	110	31	60	73	81	94	82	26	33	49	66	66	CAGL0A02981g
721	606	850	638	871	1008	809	610	564	412	355	467	342	483	257	237	470	511	702	582	CAGL0A02992g
631	537	604	453	525	605	602	400	371	255	268	295	238	334	287	318	308	344	1135	1004	CAGL0A03014g
3540	2811	3816	3360	2377	3174	2951	2758	2469	3203	1763	2088	1658	2481	1482	2144	3382	3840	6944	6958	CAGL0A03036g
1227	927	1496	1420	1218	1533	1265	1114	1191	733	724	764	894	1069	817	577	926	1161	540	590	CAGL0A03051g
1639	1355	1544	1129	1254	1403	1448	995	1206	614	624	784	608	892	658	523	710	651	947	888	CAGL0A03058g
482	435	316	356	1008	1572	427	386	289	255	184	192	780	713	405	450	524	718	774	788	CAGL0A03080g
20	19	178	148	57	44	30	20	82	48	101	49	22	161	10	10	17	7	41	42	CAGL0A03102g
4861	3642	5525	4012	4442	4695	3999	2847	5471	2438	2446	3319	2729	3176	2874	2181	2448	2687	3150	2892	CAGL0A03117g
280	252	356	259	384	395	297	221	229	186	164	119	131	232	148	161	200	245	615	633	CAGL0A03146g
21019	15321	28484	14709	22485	15348	21718	10015	27916	5737	12271	15344	18542	16025	19258	5023	6833	8320	295	290	CAGL0A03168g
415	408	392	335	365	389	452	320	330	304	191	208	175	243	188	284	278	392	389	345	CAGL0A03190g
1865	1514	2462	1885	2858	2742	1082	686	1700	738	637	851	964	988	891	518	870	1084	25	31	CAGL0A03212g
46476	35583	61006	41317	46652	43927	42702	27596	55486	19100	25690	28181	35794	34271	36408	19401	19143	20591	3695	3786	CAGL0A03234g
528	438	631	449	567	501	604	337	502	273	197	384	167	230	263	274	245	296	117	109	CAGL0A03256g
47839	33750	62167	47338	47321	50845	46583	31897	57670	24143	31265	40612	48810	43517	49528	22432	28168	32694	942	1050	CAGL0A03278g
4	2	5	1	8	0	1	0	2	8	3	9	1	2	3	3	2	4	14	5	CAGL0A03300g
645	562	649	421	585	523	602	351	555	207	226	343	337	373	346	187	191	226	350	391	CAGL0A03322g
663	669	578	365	660	544	738	377	480	188	227	392	148	296	167	150	228	226	1082	1018	CAGL0A03344g
61	31	88	82	70	70	46	32	1355	80	38	44	59	57	84	118	68	104	34	66	CAGL0A03355r
6368	6503	5611	4294	7193	7454	5434	3265	3910	1966	2617	2640	1644	3506	3023	2652	1977	2186	8338	8134	CAGL0A03366g
43728	31561	60233	49279	46256	54387	42179	30713	56818	39283	26673	33563	39037	35797	38195	37916	32078	36955	2665	3086	CAGL0A03388g
45	32	72	40	58	55	46	33	48	54	9	32	9	11	42	58	25	40	35	36	CAGL0A03410g
752	704	711	508	971	804	736	380	750	307	233	454	341	325	985	712	253	279	329	293	CAGL0A03432g
1155	1101	1440	1023	1126	1109	1378	828	1295	614	431	1090	445	603	573	500	512	556	503	449	CAGL0A03454g
2661	2642	2280	1589	1939	1860	2230	1111	1427	839	937	1371	514	1172	990	983	1113	1175	1991	1989	CAGL0A03476g
682	763	1431	934	742	797	842	376	771	445	564	964	134	736	140	173	743	862	374	482	CAGL0A03498g
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CAGL0A03520r
4204	2867	4762	3255	3275	3086	3852	2784	3660	1619	2075	2677	2458	2510	2350	1442	1913	2210	4088	4161	CAGL0A03542g
784	690	778	515	732	633	791	429	676	235	217	588	138	317	193	207	281	318	797	692	CAGL0A03564g
40	35	28	20	33	41	26	21	12	10	7	20	13	9	18	25	18	31	44	26	CAGL0A03586g
132	192	407	315	252	261	191	125	375	211	144	265	351	246	71	71	384	466	43	31	CAGL0A03608g
693	728	760	544	728	590	950	500	708	374	312	467	229	324	266	258	295	295	542	485	CAGL0A03630g
2542	1240	3586	2735	2846	2721	1926	1803	2499	1422	1177	2350	2136	1395	2336	1926	1434	1685	112	85	CAGL0A03652g
413	271	622	446	518	511	325	377	446	408	208	336	350	239	398	477	364	428	66	76	CAGL0A03674g
2198	2023	2441	1866	2197	2357	2240	1477	2096	1287	1117	1292	934	1524	1171	1199	1065	1179	1958	1878	CAGL0A03696g
7384	7109	7119	4143	6853	5755	8173	3887	5495	1548	2978	4055	2439	4121	3573	1517	2135	2178	7405	6952	CAGL0A03718g
302	325	169	124	179	186	285	158	104	78	101	76	28	136	120	86	70	79	1644	1686	CAGL0A03740g
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CAGL0A03762r
454	334	550	357	422	502	483	319	407	272	194	301	248	243	256	265	322	369	298	327	CAGL0A03784g
0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	6	5	CAGL0A03806g
831	707	959	684	749	743	765	450	663	495	352	581	369	453	397	366	423	436	344	319	CAGL0A03828g
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CAGL0A03850r
2107	2075	1842	1476	1890	2254	2235	1507	1360	1505	876	919	811	1376	1007	1535	1151	1287	5934	5528	CAGL0A03872g
531	471	667	491	742	750	610	408	378	185	262	217	222	351	218	107	259	323	435	463	CAGL0A03883g
1610	1380	1489	1411	795	1200	1383	1133	895	411	434	326	551	622	500	379	465	545	1456	1279	CAGL0A03905g
1791	1699	1823	1526	2028	2736	1660	1489	1225	1136	577	570	505	849	566	678	1055	1246	2911	2669	CAGL0A03927g
1033	777	1068	916	1141	1242	942	688	845	417	492	588	568	696	649	370	422	494	1062	1016	CAGL0A03949g
705	500	923	637	697	731	768	526	701	608	421	685	547	491	558	519	522	557	187	207	CAGL0A03971g
664	572	710	523	627	659	802	571	589	343	292	430	297	436	359	256	310	357	367	387	CAGL0A03993g
11793	6379	17016	12260	12784	12126	9783	7715	12893	5723	5896	8738	12244	8356	13021	7594	5922	6765	376	312	CAGL0A04015g
2292	1550	2991	2511	2461	2558	1855	1708	2155	1109	768	959	1679	1145	1642	1296	1275	1562	395	360	CAGL0A04037g
1910	1677	2357	1979	2178	2517	1611	1374	1826	899	706	931	1025	1039	1044	886	1029	1141	872	862	CAGL0A04059g
1680	1792	1670	1987	2186	2625	1660	1412	1264	926	708	660	656	1128	1127	1156	716	795	3813	3882	CAGL0A04081g
639	633	622	507	585	690	755	472	489	341	305	294	304	493	296	226	371	480	1880	1958	CAGL0A04103g
4031	3272	5172	4498	4208	4666	4072	3267	4596	4232	1811	2367	2734	2410	2820	3367	2653	3568	1476	1442	CAGL0A04125g
285	265	282	185	236	264	269	163	212	83	158	211	101	191	136	103	103	136	369	362	CAGL0A04147g
2116	1499	2238	1717	2157	1938	1560	1251	1360	676	573	826	837	769	1200	1004	569	642	1401	1305	CAGL0A04169g
1365	930	1575	1548	1456	1913	1158	990	1053	1057	706	628	937	1020	959	1110	1000	1092	1126	1210	CAGL0A04191g
2475	1701	3039	2528	2679	3028	2224	2140	2287	1531	728	1160	1374	1055	1634	1813	1192	1396	306	272	CAGL0A04213g
972	807	1142	775	1038	982	1172	676	974	565	465	684	395	576	423	374	418	460	661	630	CAGL0A04235g
2523	1500	3170	2353	2787	2479	1670	1435	2506	1248	820	1492	1820	1120	1907	1559	1376	1548	150	143	CAGL0A04257g
685	736	691	516	644	743	684	411	531	350	331	278	258	459	272	293	410	516	562	517	CAGL0A04279g
1136	1362	1119	780	933	908	1225	542	881	323	779	743	240	1015	329	181	382	442	1359	1476	CAGL0A04301g
851	656	995	972	647	854	791	780	917	960	458	570	622	610	413	656	668	759	466	649	CAGL0A04323g
1817	1949	1845	1381	1778	1820	2216	1524	1601	821	980	1141	616	1343	702	494	930	991	2400	2415	CAGL0A04345g
277	257	345	279	323	464	288	269	243	254	185	209	179	220	110	157	266	319	249	271	CAGL0A04367g
614	560	738	573	666	823	696	460	544	407	374	467	327	443	229	230	551	564	952	922	CAGL0A04389g
1258	1073	1448	1221	1481	1497	1248	762	1205	675	648	908	642	816	759	685	716	771	364	336	CAGL0A04411g
3881	3835	2890	2314	2987	3711	3481	2558	1857	1495	1299	1380	819	1738	1341	1472	1692	1870	7616	7715	CAGL0A04433g
1788	1582	1773	1245	1712	1706	1813	1340	1371	727	655	929	840	813	922	772	727	685	2132	2042	CAGL0A04455g
869	862	829	579	873	856	907	525	664	447	278	566	196	466	278	289	351	380	1209	1232	CAGL0A04477g
248	204	294	218	276	255	208	145	261	79	104	192	174	126	254	117	108	87	45	26	CAGL0A04499g
46637	34815	62775	47125	49298	51231	49380	34987	57904	25976	28201	35835	41142	36163	41043	22685	22100	27519	934	981	CAGL0A04521g
1	1	2	1	3	1	3	1	8	0	0	2	1	2	6	0	2	1	0	1	CAGL0A04532r
786	638	1003	883	830	970	682	613	904	711	441	586	444	515	369	465	670	796	443	441	CAGL0A04543g
1831	1941	2927	2132	2351	2334	2183	1159	2125	1085	984	1897	688	1743	729	733	1147	1206	879	856	CAGL0A04565g
298	272	395	191	278	268	271	133	322	92	95	170	63	102	66	36	66	47	70	67	CAGL0A04587g
1444	1107	1814	1275	1484	1407	1316	898	1442	869	580	1069	843	767	989	901	788	899	212	189	CAGL0A04631g
1037	807	1287	877	1246	1251	1227	727	936	490	335	883	280	437	246	345	586	545	904	863	CAGL0A04653g
127	161	78	98	110	153	138	81	48	34	86	85	20	134	60	47	34	48	972	910	CAGL0A04675g
1476	1273	1210	1039	913	1172	1372	1083	730	933	630	784	311	712	320	571	1002	1110	3312	3232	CAGL0A04697g
3205	3043	3898	2252	3320	2700	4163	2863	3229	1666	1228	1965	1001	1935	1344	988	1404	1531	2305	2212	CAGL0A04719g
4656	4111	5602	3443	4580	4079	4711	2457	4397	1472	2431	3448	2196	3255	2409	1152	2014	2104	2706	2572	CAGL0A04741g
1829	1672	1994	1532	2089	2137	1789	1233	1818	909	868	1140	810	1131	1352	988	956	963	1672	1531	CAGL0A04785g
1896	1854	2470	1480	1898	1759	3001	1936	2275	961	570	1351	553	991	773	575	824	955	1580	1468	CAGL0A04807g
5501	3298	2578	1663	8152	6767	2758	2573	1623	583	1036	1464	1609	1873	2851	1221	1039	1127	13195	12719	CAGL0A04829g
0	0	1	0	1	0	0	0	1	0	0	2	0	0	1	1	0	0	0	1	CAGL0A04873g
0	0	0	0	23	42	0	0	3	0	0	0	0	0	52	86	0	0	0	1	CAGL0B00105g
0	0	0	0	1336	1277	0	0	61	1	10	22	0	6	1227	1482	0	1	9	8	CAGL0B00110g
0	0	0	0	446	444	0	0	2	0	4	5	0	1	438	302	0	0	4	2	CAGL0B00116g
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CAGL0B00165r
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	CAGL0B00220g
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CAGL0B00242g
0	0	0	0	1	4	0	0	1	0	0	0	0	0	2	1	0	0	0	0	CAGL0B00264g
772	301	988	582	1451	1387	285	119	1028	382	250	446	517	254	2896	2372	298	271	537	418	CAGL0B00286g
720	541	829	614	774	795	552	318	677	390	299	591	262	399	541	547	338	416	404	361	CAGL0B00308g
1909	1567	2257	1796	2060	1996	2298	1320	2481	1213	717	1817	852	954	1190	1177	885	920	933	755	CAGL0B00330g
3028	1557	4079	2908	3241	3086	2509	2021	3166	1950	1441	3042	2663	1799	3555	3297	2005	2187	89	92	CAGL0B00352g
541	326	718	448	594	495	527	392	557	309	126	526	232	166	377	352	329	340	40	40	CAGL0B00374g
2297	2060	2284	1643	1842	1786	2031	1309	1695	878	740	1436	589	972	929	843	1285	1368	2275	2219	CAGL0B00396g
2640	2307	2860	1699	2678	2206	2682	1461	2382	831	939	1627	792	1238	1159	732	900	930	1511	1206	CAGL0B00418g
1881	1369	1869	1251	1628	1747	1141	717	1508	620	976	1395	1043	1100	1532	1227	1126	1181	1073	968	CAGL0B00440g
1	5	8	2	4	4	8	7	4	4	5	6	1	4	1	1	5	9	11	10	CAGL0B00462g
4587	2281	6867	5039	5252	4702	3719	3420	4717	2272	1816	4039	3744	2396	4277	3086	2199	2367	263	191	CAGL0B00484g
1273	957	1232	883	1051	1098	1344	792	1116	487	460	1022	390	658	451	430	581	649	825	768	CAGL0B00506g
1113	860	862	793	1146	1261	1051	933	830	500	376	663	618	551	1278	1107	404	444	770	640	CAGL0B00528g
3854	3180	4662	3286	4345	4165	3821	2214	3813	2191	1856	2930	2144	2646	2504	2287	2238	2443	778	717	CAGL0B00550g
8	7	6	2	5	8	6	2	6	3	2	6	0	2	1	2	0	5	2	7	CAGL0B00572g
10272	5413	10621	6373	11075	8869	6290	4538	7366	3535	3936	4166	6151	4884	7739	5663	2511	2614	2974	3266	CAGL0B00594g
25	32	38	30	36	59	18	11	23	18	6	22	20	13	19	40	23	28	58	61	CAGL0B00616g
267	208	255	163	292	244	234	146	216	120	52	174	52	72	106	116	120	94	157	157	CAGL0B00638g
